,predicted_answer,groundtruth,matches?,options,sources,questions,result_id_groundtruth,result_id_prediction,matches_ids
165,leeward side of a mountain range and is caused by the condensation level being lower on,leeward side of a mountain range and is caused by significant moisture loss by precipitation from cloud.,0,"[{'id': 1, 'answer': 'windward side of a mountain range and is caused by surface heating.'}, {'id': 2, 'answer': 'leeward side of a mountain range and is caused by the condensation level being lower on the leeward side than on the windward side.'}, {'id': 3, 'answer': 'leeward side of a mountain range and is caused by significant moisture loss by precipitation from cloud.'}, {'id': 4, 'answer': 'windward side of a mountain range and is caused by surface cooling and reverse air flow.'}]","[Document(page_content='Consequently the temperature at the base of the mountain will be greater on the downwind \nside than it was on the upwind side.\nSo, on the windward side we can expect low cloud and precipitation whilst on the leeward side  \nwe will see clear turbulent conditions.', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 172}), Document(page_content='– because there is little water left to evaporate. Thus, the air is warmer and drier when it reaches the leeward slope than when it begins its windward ascent.\nOn the windward side we can expect low cloud and precipitation whilst on the leeward side we will see clear turbulent conditions.\nWith regards to this question\n, with a south wind - the south side is the upwind side => where the air is forced up the mountains, cooling down and condensing - forming clouds.'), Document(page_content='– because there is little water left to evaporate. Thus, the air is warmer and drier when it reaches the leeward slope than when it begins its windward ascent.\nOn the windward side we can expect low cloud and precipitation whilst\non the leeward side we will see clear turbulent conditions.\nWith regards to this question\n, with a south wind - the south side is the upwind side => where the air is forced up the mountains, cooling down and condensing - forming clouds.'), Document(page_content=',\nwith a south wind - the south side is the upwind side => where the air is forced up the mountains, cooling down and condensing - forming clouds.\nThe north side is the leeward/downwind side, where air descends and becomes drier and warmer => little or no precipitation is expected.'), Document(page_content='As the air makes its leeward descent, it is compressed and warms rapidly all the way downslope – because there is little water left to evaporate. Thus, the air is warmer and drier when it reaches the leeward slope than when it begins its windward ascent.\nOn the windward side we can expect low cloud and precipitation whilst on the leeward side we will see clear turbulent conditions.\nIn terms of weather, we can expect:\n• Upwind side: clouds, precipitation and poor visibility,')]",,3,2.0,False
166,no wind shear since the absolute value of the difference in wind velocity per height unit is too,vertical wind shear only,0,"[{'id': 1, 'answer': 'vertical and horizontal wind shear'}, {'id': 2, 'answer': 'vertical wind shear only'}, {'id': 3, 'answer': 'horizontal wind shear only'}, {'id': 4, 'answer': 'no wind shear since the absolute value of the difference in wind velocity per height unit is too small to fit the definition of wind shear at all'}]","[Document(page_content="". The wind at FL190 is decided by the pressure patterns at that level, and the pressure patterns are decided partly by the surface pressure, and partly by the temperature of the air between the surface and FL190. All this means that the temperature effects on pressure altitude vs true altitude have already been accounted for in the wind direction, and therefore with\na strong crosswind from the right, the aircraft's true altitude will be increasing""), Document(page_content='Wind shear is defined as an abrupt change in wind speed or wind direction over a relatively short distance. It can occur vertically or horizontally or in both directions at the same time.\nVertical wind shear\noccurs when wind speed and/or wind direction\nchanges with height.\nHorizontal wind shear\nis a change in the flow which can be observed at the same height.\nA microburst is an intense small-scale downdraft produced by a thunderstorm or rain shower while wind shear can occur in any direction.'), Document(page_content='It is not clear whether this is a vertical wind shear, or if it is horizontal wind shear (the wind is much stronger to the NE of the airfield), but in reality it does not matter. A difference of wind speed of 20 kts between two relatively close sensors is a large indicator that\nwind shear is present\n, which is often caused by local weather systems such as thunderstorms, microbursts, etc.\nThe\ndowndrafts from a thunderstorm/microburst\nhit the ground with a large amount of speed, then\nspreading out sideways'), Document(page_content='Alternatively, you can think of it this way: if you fly towards a mountain with tailwind, it means that the wind is also going towards the mountains, therefore, you are on the upwind of the mountain and not on the lee side (wind encounters the mountain from the same side as you).\nFlying towards a mountain with headwind, means that you are approaching the lee side of the mountain => where mountain waves occur and turbulence may be severe.'), Document(page_content='10\n149\n                             Winds 10                                                                                 Winds\nIntroduction\nWind is air in horizontal motion. Wind Velocity  (W/V) has both direction and speed.\nWind direction  is always given as the direction from  which the wind is blowing; this is illustrated \nin Figure 10.1 . It is normally given in degrees true, but wind direction given to a pilot by ATC will \nbe given in degrees magnetic .\nFigure 10.1 Wind direction', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 154})]",,2,4.0,False
167,2 520 ft,2 664 ft,0,"[{'id': 1, 'answer': '2 664 ft'}, {'id': 2, 'answer': '2 760 ft'}, {'id': 3, 'answer': '2 595 ft'}, {'id': 4, 'answer': '2 520 ft'}]","[Document(page_content='.\nThis question gives us a true altitude and is asking for the\nindicated altitude\n(the altitude our altimeter shows when the correct QNH is set).\nThe aircraft must fly at 5 920 ft\n(*obstacle elevation + terrain clearance).\nThis\naltitude must be the true altitude of the aircraft. This altitude must be corrected for the temperature ISA deviation to get the indicated altitude.'), Document(page_content=""The aircraft departs from A with its altimeter set on local QNH of 1021 hPa. The flight is performed maintaining a constant\nIndicated Altitude of 7 500 ft based on Point A's QNH of 1021 hPa\n(and that is all we need from Point A - elevation is irrelevant).\nIn order to find out our height above the surface, we must calculate our True Altitude. Think of it this way:""), Document(page_content=""The aircraft departs from A with its altimeter set on local QNH of 1012 hPa. The flight is performed maintaining a constant\nIndicated Altitude of 6 500 ft based on Point A's QNH of 1012 hPa\n(and that is all we need from Point A - elevation is irrelevant).\nIn order to find out our height above the surface, we must calculate our True Altitude. Think of it this way:""), Document(page_content='under read\n.\nThe aircrafts true altitude will be higher than indicated.\nWe leave A with a QNH of 986 hPa set on the altimeter. We maintain an indicated altitude of 4 500 feet. Over B the QNH changes to 1011 hPa, but we still maintain with 986 hPa set on the altimeter. The true (actual) altitude of the aircraft at B will change now by:\n1011 – 986 = 25 hPa.\nClose to the ground 1 hPa represents 27 feet.\n25 x 27 = 675 feet'), Document(page_content='9\n135\n                        Altimetry 9                                                                                   Altimetry\nSo in winter, particularly if flying close to safety altitude, the effect of temperature on true \naltitude must be taken into account.\nFor all of the following questions assume that 1 hPa = 27 ft. \n1.  An aircraft is at an airfield with an elevation of 350 ft. The altimeter setting is 1002, but \nthe actual QNH is 993. What is the altimeter reading?', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 140})]",,1,4.0,False
168,high relative humidity and conditional instability throughout a deep layer.,high relative humidity and conditional instability throughout a deep layer.,1,"[{'id': 1, 'answer': 'high relative humidity and conditional instability throughout a deep layer.'}, {'id': 2, 'answer': 'rapid orographic cooling of cloud containing ice crystals.'}, {'id': 3, 'answer': 'high surface temperature, low dew point and high dry adiabatic lapse rate.'}, {'id': 4, 'answer': 'intense surface heating, anticyclonic pressure system and relatively high freezing level.'}]","[Document(page_content='Thunderstorms (TS) occur in well developed cumulonimbus (Cb) cloud, though not all Cbs produce thunderstorms.\nThree basic ingredients are required for a thunderstorm to form:\nSufficient water vapour to form and maintain the cloud;\nUnstable air (an ELR greater than the SALR); and\nA lifting mechanism/trigger (action to produce early saturation, thus enhancing instability.)\nThe triggers/lifting forces are: Convection, Orographic uplift, Convergence, Frontal uplift\nWith regards to this question,'), Document(page_content='Thunderstorms (TS) occur in well developed cumulonimbus (Cb) cloud, though not all Cbs produce thunderstorms.\nThree basic ingredients are required for a\xa0thunderstorm\xa0to form:\nSufficient water vapour to form and maintain the cloud, rising unstable air (\na\xa0lapse rate greater than the SALR\nthrough a layer at least 10000’ thick and extending above the freezing level) and a lifting mechanism/trigger (action to produce early saturation, thus enhancing instability.)\nThe\xa0triggers/lifting forces are:'), Document(page_content='Thunderstorms (TS) occur in well developed cumulonimbus (Cb) cloud, though not all Cbs produce thunderstorms.\nThree basic ingredients are required for a\xa0thunderstorm\xa0to form: Sufficient water vapour to form and maintain the cloud, rising unstable air (\na\xa0lapse rate greater than the SALR\nthrough a layer at least 10000’ thick and extending above the freezing level) and a lifting mechanism/trigger (action to produce early saturation, thus enhancing instability.)\nThe\xa0triggers/lifting forces are:'), Document(page_content='the above conditions are fullfiled as described below:\nMaritime air (which is already moist) advecting over another moist surface (water) =>\nwill produce plenty of moisture to fuel the development of a Thunderstorm.\nI\nnstability increases when lower layers are warmed\n, or upper layers cooled. Hence advection of cold air over a warm surface leads to instability.'), Document(page_content='Furthermore, the greatest likelihood for thunderstorms development due to warm updrafts is particularly during the afternoon, when the soil is particularly warm by radiations => and when a Cumulonimbus clouds is forced up against a mountain side, its intensity increases and so do the hazards associated with such cloud formations.')]",,1,1.0,True
169,exceeds the saturated adiabatic lapse rate.,exceeds the dry adiabatic lapse rate.,0,"[{'id': 1, 'answer': 'exceeds the saturated adiabatic lapse rate.'}, {'id': 2, 'answer': 'is less than the saturated adiabatic lapse rate.'}, {'id': 3, 'answer': 'is between the dry and saturated adiabatic lapse rate.'}, {'id': 4, 'answer': 'exceeds the dry adiabatic lapse rate.'}]","[Document(page_content='Stability of the atmosphere can be defined using the relationship of ELR (Environmental Lapse Rate), DALR (Dry Adiabatic Lapse Rate) and SALR (Saturated Adiabatic Lapse Rate):\nAbsolute stability:\nELR is less than SALR => ELR is less than 1.8°C per 1 000 ft (0.6°C per 100 m). Relationship is: ELR < SALR < DALR.\nAbsolute instability:\nELR is greater than DALR => ELR is greater than 3°C per 1 000 ft (1°C per 100 m). Relationship is: SALR < DALR < ELR.\nConditional instability:'), Document(page_content='Adiabatics and Stability\n7\n96\n7 Adiabatics and StabilityWhen ELR > DALR we have absolute instability.\nUnstable Weather: Cumuliform clouds\n   Moderate to heavy showers\n   Potential for moderate to heavy precipitation\n   Good visibility except in showers\n•  The clouds which form in unstable \nair tend to be large in vertical \nextent and small in horizontal \nextent - heap clouds.\nExamples\nAssuming a constant lapse rate in the layer between 2000 ft and 5000 ft and ignoring the', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 101}), Document(page_content='the other side of the hill, the stable condition.  \nThe saturated air will cool to 18.2°C as it is \nblown up the hill. Now the saturated air \nis warmer than the environment and will \ncontinue to rise, the unstable condition.\nThe stability of the air is now dependent on \nwhether the air is saturated or unsaturated.  \nThis state is known as conditional instability, \nwhere the atmosphere is stable for \nunsaturated (dry) air and unstable for \nsaturated air.\nDALR > ELR >SALR: CONDITIONAL INSTABILITY', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 98}), Document(page_content='Note: The term ‘conditional stability’ is not a meteorological term and, if seen in the answer to \nan examination question, can be confidently deleted as an incorrect answer.\nFigure 7.11', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 98}), Document(page_content='Adiabatics and Stability\n7\n92\n7 Adiabatics and StabilityAbsolute Stability\nLet us now take the same situation except that the radiosonde ascent shows a lapse rate of \n0.4°C/100 m, giving an environmental temperature at 300 m of 18.8°C.\nFigure 7.8 \nOnce again the parcel of dry air is blown up the \nhill cooling adiabatically to 17°C.  This parcel \nof air is now cooler and therefore denser than \nthe environment and will now descend on the \nopposite side of the hill to its starting position.', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 97})]",,4,1.0,False
170,within the anvil cloud at the top of an oceanic mesoscale convec,Within the anvil cloud at the top of an oceanic mesoscale convective system.,0,"[{'id': 1, 'answer': 'Within cirrus at the top of an active warm front.'}, {'id': 2, 'answer': 'Within the anvil cloud at the top of an oceanic mesoscale convective system.'}, {'id': 3, 'answer': 'Beneath the CBs in a cold-air drop.'}, {'id': 4, 'answer': 'Within a low-level nimbostratus.'}]","[Document(page_content='full of moisture\nfrom the sea below, and are at least\nmedium in size\n. Smaller convective systems would not be powerful enough to cause significant ice crystal icing.'), Document(page_content=', and the region around the tops of these clouds (and within those clouds) is the most dangerous location for experiencing Ice Crystal Icing.'), Document(page_content='.\n050.09.01.04.02: Describe the atmospheric processes leading to high ice crystal concentration. Define the variable ice water content (IWC).\nThe Ice Water Content (IWC) is a measure of\nhow much ice is present in a certain volume (or sometimes mass) of air. It can therefore be measured in either\ng/m\n3\n. This is part of the ""Ice Crystal Icing (ICI)"" topic in meteorology. A\nhigh IWC is usually caused by tropical storms bringing a very large amount of moisture very high up in the atmosphere'), Document(page_content='Learning Objective 050.09.01.04.03: Identify weather situations and their relevant areas where high concentrations of ice crystals are likely to occur.'), Document(page_content=', where the air is less than -20°C, and that moisture will form ice crystals rather than supercooled water droplets. This can lead to the formation of Ice Crystal Icing within aircraft engines, and is the reason that we have to learn about this. The annex above caters mostly for standard airframe icing, but we must be able to recognise the danger of ICI in the top sections also, which contain the ice crystals.\nThese tropical storms that bring high IWC are\nareas of extreme convective activity')]",,2,2.0,True
171,"good visibility, turbulence.","Good visibility, turbulence.",1,"[{'id': 1, 'answer': 'Decrease in temperature, moderate to severe icing.'}, {'id': 2, 'answer': 'Icing, huge mass of clouds.'}, {'id': 3, 'answer': 'Good visibility, turbulence.'}, {'id': 4, 'answer': 'Continuous precipitation, severe turbulence.'}]","[Document(page_content=', lighter winds than around a Depression and\nreduced chance of precipitation\n. The descending movement of the air works against cloud formation and precipitation.\n""On the windward side of the alps in a foehn situation""\nIncorrect\n. On the upwind/windward side of the mountain, cloud formation, precipitation or fog is expected.\n""In an occlusion""\nIncorrect\n. As the occluded front approaches the observer, regardless of the type of occlusion, precipitation is often showery.'), Document(page_content='frontal weather.\nThe Alps  often block and delay cold fronts, causing frontal and orographical cloud to persist \non the northern side. An active secondary depression may develop on such a front, tending', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 429}), Document(page_content='Consequently the temperature at the base of the mountain will be greater on the downwind \nside than it was on the upwind side.\nSo, on the windward side we can expect low cloud and precipitation whilst on the leeward side  \nwe will see clear turbulent conditions.', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 172}), Document(page_content='The north side is the leeward/downwind side, where air descends and becomes drier and warmer.\nTherefore, temperature is higher north of the Alps than south of the Alps at the same altitude.'), Document(page_content='Local Winds and Weather\n21\n406\n                Local Winds and Weather 21Valley Winds\nMistral\nValley winds are caused by air funnelling through a mountain gap or down a valley. The \nMistral, which is a good example of such a wind, blows down the Rhône Valley  between the \nMassif Central and the Alps to the French Mediterranean coast and beyond. It is usually a \nwinter wind with high pressure  over Central France  and low pressure  over the Gulf of Genoa.', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 411})]",,3,3.0,True
172,maritime tropical warm and maritime polar cold.,Maritime tropical warm and maritime polar cold.,1,"[{'id': 1, 'answer': 'Maritime tropical warm and maritime polar cold.'}, {'id': 2, 'answer': 'Continental tropical warm and continental polar cold.'}, {'id': 3, 'answer': 'Maritime tropical warm and continental polar cold.'}, {'id': 4, 'answer': 'Maritime polar warm and continental tropical warm.'}]","[Document(page_content='s......\nAir masses are classified according to moisture content, source or type and temperature using a 3-letter system:\nFirst letter - moisture content:\nContinental (c)\nMaritime (m)\nSecond letter - source region or type (latitude/temperature):\nEquatorial. (E)\nTropical. (T)\nPolar. (P)\nArctic. (A)\nThird letter: temperature, c(old) or w(arm)\nHence the 5 air masses aﬀecting Europe are:\nAIR MASS\nSOURCE\nCHARACTERISTICS\nArctic maritime, mAc\nPolar ice cap. Only experienced during NH winter'), Document(page_content='3. Third letter: temperature, c(old) or w(arm).\nHence the 5 air masses affecting Europe are:\n• Arctic maritime, mAc\n• Polar maritime, mPc\n• Polar continental, cPc\n• Tropical maritime, mTw\n• Tropical continental, cTw', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 307}), Document(page_content='Further info on Air Masses:\nAir masses are classified according to moisture content, source or type and temperature using a 3-letter system:\nFirst letter - moisture content:\nContinental (c)\nMaritime (m)\nSecond letter - source region or type (latitude/temperature):\nEquatorial. (E)\nTropical. (T)\nPolar. (P)\nArctic. (A)\nThird letter: temperature, c(old) or w(arm)\nHence the 5 air masses aﬀecting Europe are:\nAIR MASS\nSOURCE\nCHARACTERISTICS\nArctic maritime, mAc\nPolar ice cap. Only experienced during NH winter'), Document(page_content='s.\nThe 5 air masses aﬀecting Europe are:\nAIR MASS\nSOURCE\nCHARACTERISTICS\nArctic maritime, mAc\nPolar ice cap. Only experienced during NH winter\nAffects Northern Europe (winter)\nstable very cold and dry.\nPolar maritime, mPc\nNorthwest area of North Atlantic\nAffects western Europe\nAffects Northern Europe\nstable, cold, absolute humidity low, relative humidity high\nPolar continental, CPC\nSiberia (winter only) northern Russia\nAffects Baltics/Eastern Europe/Baltic coast of Germany (winter)'), Document(page_content='s.\nAir masses are classified according to moisture content, source or type and temperature using a 3-letter system:\nFirst letter - moisture content:\nContinental (c)\nMaritime (m)\nSecond letter - source region or type (latitude/temperature):\nEquatorial. (E)\nTropical. (T)\nPolar. (P)\nArctic. (A)\nThird letter: temperature, c(old) or w(arm)\nHence the 5 air masses aﬀecting Europe are:\nAIR MASS\nSOURCE\nCHARACTERISTICS\nArctic maritime, mAc\nPolar ice cap. Only experienced during NH winter\nstable very cold and dry.')]",,1,1.0,True
173,"(1) 7000 m; (2) 12 kt; (3) scattered,(1) 7000",(1) 8000 m; (2) 15 kt; (3) few,0,"[{'id': 1, 'answer': '(1) 7000 m; (2) 12 kt; (3) scattered'}, {'id': 2, 'answer': '(1) 7000 m; (2) 8 kt; (3) few'}, {'id': 3, 'answer': '(1) 8000 m; (2) 15 kt; (3) few'}, {'id': 4, 'answer': '(1) 7000 m; (2) 10 kt; (3) scattered'}]","[Document(page_content='.\nA translation of this message into plain English would read:\nThis is Frankfurt\nArrival\ninformation\nMike\nat 08:50 UTC. Expect ILS Y approach into Runway 07L or the ILS approach into Runway 07R as independent parallel approaches are in progress.\nThe wind is from 080 degrees at 5 knots, Visibility 10km or more, clouds are few at 2,500 ft, Temperature 7⁰C, dewpoint 2⁰C, QNH 1014 hPa.\nTrend:\nNo significant change\nin weather expected in the next 2 hours.'), Document(page_content='EDDF 272200Z 2806/2824 VRB05KT 4000 BR SCT005 OVC013 BECMG 2813/2814 9000 SHRA OVC015 PROB40 TEMPO 2814/2816 VRB15G25KT 1600 TSRA OVC010CB BECMG 2816/2818 26010KT BECMG 2821/2822 CAVOK=\nPeriod of validity is stated as 06:00 UTC day 28 until 24:00 UTC day 28 (2806/2824).\nInitial weather conditions are forecasted to be:\nVRB05KT = wind variable 5 kt\n4000 = visibility 4000 m\nBR = mist\nSCT005 = scattered clouds at 500 ft above the airport.\nOVC013 = overcast layer at 1300 ft'), Document(page_content='KCHS 280430Z 2806/2906 VRB05KT 4000 BR SCT005 OVC013\nBECMG 2813/2814 9000 SHRA\nOVC015\nPROB40 TEMPO\n2814/2816 VRB15G25KT 1600 TSRA\nOVC010CB\nBECMG 2816/2818 26010KT BECMG 2821/2822 CAVOK=\nPeriod of validity is stated as 06:00 UTC day 28 until 06:00 UTC day 29 (2806/2906).\nInitial weather conditions are forecasted to be:\nVRB05KT = wind variable 5 kt\n4000 = visibility 4000 m\nBR = mist\nSCT005 = scattered clouds at 500 ft above the airport.\nOVC013 = overcast layer at 1300 ft'), Document(page_content='SCATTERED 5 THOUSAND FEET\nBROKEN 10 THOUSAND FEET\nTEMPERATURE 13  DEW POINT 10\nQNH 1006\nNOSIG\nGLASGOW AT 1120\nWIND 070 DEGREES 5 KNOTS\nVARIABLE BETWEEN 030 AND 110 DEGREES\nVISIBILITY 10 KILOMETRES OR MORE\nCLOUD FEW 1 THOUSAND 8 HUNDRED FEET\nSCATTERED 4 THOUSAND 5 HUNDRED FEET\nTEMPERATURE 14  DEW POINT 8\nQNH 997DUBLIN AT 1130\nWIND 260 DEGREES 6 KNOTS\nVARIABLE BETWEEN 240 AND 300 DEGREES\nVISIBILITY 10 KILOMETRES OR MORE\nCLOUD SCATTERED 2 THOUSAND 4 HUNDRED FEET\nSCATTERED 20 THOUSAND FEET', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 545}), Document(page_content='⇒ You are planning to arrive on the 4\nth\nat 00:30 UTC - This coincides with the temporary (TEMPO) changes that will occur between 00:00 and 06:00 UTC on the 4\nth\n. During this time, the visibility may be reduced from 10 km or more to\n4 000 m\n. However, note that the predominant visibility for the whole TAF is\n10 km or more (9999)\n.\nEGNM 030502Z 0306/0406 15008KT 9999 FEW045 PROB30 TEMPO 0306/0308 8000 BECMG 0318/0321 -RA BKN014 TEMPO 0400/0406 4000 RADZ BKN004=')]",,3,1.0,False
174,a strong temperature inversion,A strong temperature inversion,1,"[{'id': 1, 'answer': 'A severe downdraft'}, {'id': 2, 'answer': 'An extremely low relative humidity'}, {'id': 3, 'answer': 'A strong temperature inversion'}, {'id': 4, 'answer': 'Contamination such as sand and dust reducing engine performance'}]","[Document(page_content='- Depending on the direction that the pilot decides to take off, the wind shift, at the top of the inversion, may change the headwind into a tailwind =>\nwhich causes IAS to decrease - leading to a decrease in Rate of Climb\n. The fluctuation in airspeed can also induce a stall precariously close to the ground.\n- Furthermore, all performance is based on density altitude and temperature is a key factor. The higher the temperature, the higher the density altitude,'), Document(page_content='Additionally, aircraft performance is closely tied to density altitude, with temperature playing a crucial role. As temperature rises, density altitude increases, causing the air to become less dense. This, in turn, affects engine and wing performance. When climbing through an inversion, the temperature rises with altitude, resulting in\nreduced aircraft performance\n. This decrease in performance leads to lower thrust and lift as the aircraft enters warmer and less dense air.'), Document(page_content='Furthermore, all performance is based on density altitude and temperature is a key factor. The higher the temperature, the higher the density altitude,\nthe thinner the air and the less performance from your engines\n(and wings, etc). Since, as we climb through an inversion,\ntemperature increases with an increase in height => we will experience a decreased aircraft performance\n, leading to a decrease in thrust and lift, as we climb into warmer and less dense air.'), Document(page_content="", where\nthe air is cold at the ground level, but warms up as you gain altitude initially\n, into the air mass which has been displaced by the katabatic wind. It is extremely common for this to happen overnight in mountainous areas, and should be carefully considered, as it can reduce an aircraft's climb performance after take-off, which would be a bad effect in the region of mountains.""), Document(page_content='3. Are wind direction and ship speed factors in landing as well? Explain.', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/aero_introductory_physics.pdf', 'page': 41})]",,3,3.0,True
175,vhf-volmet is used for regional coverage whereas hf-volmet,VHF-VOLMET is used for regional coverage whereas HF-VOLMET is used for international coverage.,0,"[{'id': 1, 'answer': 'VHF-VOLMET is used for regional coverage whereas HF-VOLMET is used for international coverage.'}, {'id': 2, 'answer': 'VHF-VOLMET is used by general aviation and HF-VOLMET is used by international airlines.'}, {'id': 3, 'answer': 'VHF-VOLMET is used for long distances, HF-VOLMET is used for short distances.'}, {'id': 4, 'answer': 'VHF-VOLMET and HF-VOLMET are both used for long range flights, however VHF-VOLMET is used by smaller aeroplanes.'}]","[Document(page_content='when they are in the air, by tuning into appropriate frequencies  on the aircraft’s  radio .\nOne of these in-flight weather briefing services  is the VOLMET .  The first element of the \ncode VOLMET , vol, is the French word for flight .  VOLMET , therefore, is a term signifying \nmeteorological information for aircraft in flight .\nVOLMET  broadcasts are ground-to-air radio transmissions  of meteorological reports  and \nforecasts  made on the High Frequency (HF)  and Very High Frequency (VHF)  bands.  These', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 544}), Document(page_content='ICAO Annex 3\nChapter 11\n11.6 Use of aeronautical broadcasting service - contents of VOLMET broadcasts\n11.6.1\nContinuous VOLMET\nbroadcasts, normally on very high frequencies (VHF), shall contain current METAR and SPECI,\ntogether with trend forecasts where available.\n11.6.2\nScheduled VOLMET\nbroadcasts, normally on high frequencies (HF), shall contain current METAR and SPECI,\ntogether with trend forecasts where available\nand, where so determined by regional air navigation agreement, TAF and SIGMET.'), Document(page_content='The word VOLMET derives from the French words ""vol"" (flight) and ""météo"" (weather).\nThe purpose of a VOLMET broadcast is to provide weather information to aircraft in flight.\nVOLMET reports are broadcast principally over high frequency (HF) radio by a number of civil and military stations located around the world.'), Document(page_content='Next to each of these stations , is the frequency  on which the VOLMET  transmission is broadcast, \nthe operating hours, and the list of aerodromes covered by the broadcast.  The LONDON \nVOLMET MAIN  broadcast, for example, is transmitted on the VHF frequency  of 135.375 MHz, \ncontinuously, over a 24 hour period .\nThe content of each VOLMET broadcast is a set of pre-recorded weather elements.  VOLMET \nbroadcasts  are updated every half hour .', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 545}), Document(page_content='VHF stations normally broadcast their information in a continuous loop updating the information as changes occur.\nHF VOLMET stations generally broadcast on a published schedule with five minute intervals allocated to each station,\nthus preventing overlapping transmission on the same frequency.')]",,1,1.0,True
176,10 – 30 km,150 – 300 km,0,"[{'id': 1, 'answer': '10 – 30 km'}, {'id': 2, 'answer': '150 – 300 km'}, {'id': 3, 'answer': '500 – 1000 km'}, {'id': 4, 'answer': '80 – 100 km'}]","[Document(page_content='Precipitation associated with a cold front usually affects a narrow area (rain belt) of 50- 100 NM – mainly showery precipitation on both sides of the front, but mostly behind it.\nA winter cold front in Europe will usually produce more intense weather and precipitation.\nNote: The warm front moves at right angles to itself at a speed equal to\n2/3\nof the geostrophic interval measured along the front.'), Document(page_content='Precipitation associated with a cold front usually affects a narrow area (rain belt) of 50 - 100 NM\n(93 – 185 km) – mainly showery precipitation on both sides of the front, but mostly behind it.\nA winter cold front in Europe will usually produce more intense weather and precipitation.'), Document(page_content='17\n311\n                  Air Masses 17                                                                                 Air Masses\nCold Fronts\nIf cold air is replacing warm air, then the \nfront is called a cold front.  A cold front on an \nanalysis chart is as shown in Figure 17.17\nThe slope of a cold front is \napproximately 1:50 to 1:80 \nand a side view is shown in \nFigure 17.18 .  A winter cold \nfront in Europe will usually \nproduce more intense \nweather and precipitation.', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 316}), Document(page_content='Precipitation associated with a cold front usually affects a narrow area (rain belt) of 50- 100 NM (93 – 185 km) – mainly showery precipitation on both sides of the front, but mostly behind it.\nA winter cold front in Europe will usually produce more intense weather and precipitation.\nClouds: broken to overcast, base low but rising, Cu, CB, sometimes Ns.\n- Beyond 300 km from the frontal surface - we can find occasional/isolated CU (or CB - mainly in unstable warm air) => giving showery precipitation.'), Document(page_content='Precipitation associated with a cold front usually affects a narrow area (rain belt) of 50- 100 NM (93 – 185 km) – mainly showery precipitation on both sides of the front, but mostly behind it.\nA winter cold front in Europe will usually produce more intense weather and precipitation.\nClouds: broken to overcast, base low but rising, Cu, CB, sometimes Ns.\n- Beyond 300 km from the frontal surface - we can find occasional/isolated CU (or CB - mainly in unstable warm air) => giving showery precipitation.')]",,2,1.0,False
