question,answers,correct_answer,explanation,explanationImageHtml,id,clean_explanation
A trough is an area of (1)_____ causing widespread (2)_____ with (3)_____ along the line of the trough.,"[{'id': 1, 'answer': '(1) convergence, (2) lifting, (3) cumuliform clouds or squalls.'}, {'id': 2, 'answer': '(1) convergence, (2) lifting, (3) clear skies and light winds.'}, {'id': 3, 'answer': '(1) divergence, (2) lifting, (3) cumuliform clouds or squalls.'}, {'id': 4, 'answer': '(1) divergence, (2) descent, (3) clear skies and light winds.'}]","(1) convergence, (2) lifting, (3) cumuliform clouds or squalls.","Refer to figure.
Let's break down the components of the statement:
(1)
Convergence
: Convergence refers to the coming together or convergence of air masses. In the context of a trough, it indicates that air is flowing toward the trough axis from different directions and meeting at that point.
(2)
Lifting
: Lifting refers to the upward movement of air. In the presence of convergence, the air is forced to rise along the trough axis. This lifting motion can lead to the formation of clouds and precipitation.
(3)
Cumuliform clouds or squalls
: Cumuliform clouds are large, puffy clouds with a vertical development, often associated with convection. Squalls are intense, localized storms characterized by strong winds and heavy precipitation. Along the line of the trough, the convergence and lifting can result in the formation of cumuliform clouds or trigger squall-like weather conditions.
Detailed explanation:
A
trough
is an extension of a low-pressure system. It is an area indicated by isobars that extend outwards from an area of low Pressure (typically forming a “V” shaped pattern). Troughs are very often associated with the fronts of polar front depressions. The weather associated with a trough will be similar to that of a depression.
Weather associated with a Trough:
CLOUD
:
extensive
and may extend from low altitude to the tropopause
PRECIPITATION: may be continuous/intermittent precipitation or showers and intensity can range from light to heavy dependent on the type of depression.
VISIBILITY: Poor in precipitation, otherwise good due to ascending air.
TEMPERATURE: dependent on type of depression and time of year. For example, a frontal depression coming into Europe from the Atlantic in winter will bring warmer air, but in summer will bring cooler air.
WINDS: Winds are usually strong - the deeper the depression and the closer the isobars, the stronger the wind.","<div class=""mt10 fl wd100""> <div class=""fl tc mr20"" id=""annexContainer55873""> <a href=""/ImageViewer/index?image=ff79193e-0e9f-4542-b81d-6979f512d709&size=2"" target=""_blank""> <img style=""border: solid thin rgb(219 219 219 / 32%); width: 163px !important; height: 136px !important; "" src=""/getimage/ff79193e-0e9f-4542-b81d-6979f512d709"" alt=""thumb_202307100926_050-97.jpg"" /> </a> </div></div>",95788,".
Let's break down the components of the statement:
(1)
Convergence
: Convergence refers to the coming together or convergence of air masses. In the context of a trough, it indicates that air is flowing toward the trough axis from different directions and meeting at that point.
(2)
Lifting
: Lifting refers to the upward movement of air. In the presence of convergence, the air is forced to rise along the trough axis. This lifting motion can lead to the formation of clouds and precipitation.
(3)
Cumuliform clouds or squalls
: Cumuliform clouds are large, puffy clouds with a vertical development, often associated with convection. Squalls are intense, localized storms characterized by strong winds and heavy precipitation. Along the line of the trough, the convergence and lifting can result in the formation of cumuliform clouds or trigger squall-like weather conditions.
Detailed explanation:
A
trough
is an extension of a low-pressure system. It is an area indicated by isobars that extend outwards from an area of low Pressure (typically forming a “V” shaped pattern). Troughs are very often associated with the fronts of polar front depressions. The weather associated with a trough will be similar to that of a depression.
Weather associated with a Trough:
CLOUD
:
extensive
and may extend from low altitude to the tropopause
PRECIPITATION: may be continuous/intermittent precipitation or showers and intensity can range from light to heavy dependent on the type of depression.
VISIBILITY: Poor in precipitation, otherwise good due to ascending air.
TEMPERATURE: dependent on type of depression and time of year. For example, a frontal depression coming into Europe from the Atlantic in winter will bring warmer air, but in summer will bring cooler air.
WINDS: Winds are usually strong - the deeper the depression and the closer the isobars, the stronger the wind."
During which seasons are hurricanes most likely to appear in the northern hemisphere?,"[{'id': 1, 'answer': 'Winter.'}, {'id': 2, 'answer': 'Summer and autumn.'}, {'id': 3, 'answer': 'All seasons.'}, {'id': 4, 'answer': 'Winter and spring.'}]",Summer and autumn.,"Refer to figure.
TROPICAL REVOLVING STORMS (TRS). Are thermal depressions that develop over warm tropical oceans (wind speeds in excess of 33 kts). When they sustain wind speeds greater than 63 kt, they are designated tropical cyclones.
TRS are given di
ﬀ
erent names in di
ﬀ
erent parts of the world:
HURRICANES:
Northern Hemisphere
– Atlantic and Eastern Pacific
Occur approximately 17/18 times per year
Mainly from July to November
(Summer and Autumn)
CYCLONES:
Southern Hemisphere – Western Pacific, including Australia (also referred to as “Willy- Willy”) - approx. 9 per year
East coast of Africa
Mainly from December to April
CYCLONES:
Indian Ocean
Occur occasionally (approx.12 times per year) March – December, mainly April – May and October – November.
TYPHOON:
Northern Hemisphere (Western Pacific) and South Chinese Sea. (Japan, Korea, Chinese Coastline, Taiwan)
Area with highest frequency of TRS (20 times per year)
Mainly from June to November","<div class=""mt10 fl wd100""> <div class=""fl tc mr20"" id=""annexContainer29923""> <a href=""/ImageViewer/index?image=0E68A564-2482-4823-911E-F6822B81CEAF&size=2"" target=""_blank""> <img style=""border: solid thin rgb(219 219 219 / 32%); width: 163px !important; height: 136px !important; "" src=""/getimage/0E68A564-2482-4823-911E-F6822B81CEAF"" alt=""thumb_890_501279.png"" /> </a> </div></div>",72035,".
TROPICAL REVOLVING STORMS (TRS). Are thermal depressions that develop over warm tropical oceans (wind speeds in excess of 33 kts). When they sustain wind speeds greater than 63 kt, they are designated tropical cyclones.
TRS are given di
ﬀ
erent names in di
ﬀ
erent parts of the world:
HURRICANES:
Northern Hemisphere
– Atlantic and Eastern Pacific
Occur approximately 17/18 times per year
Mainly from July to November
(Summer and Autumn)
CYCLONES:
Southern Hemisphere – Western Pacific, including Australia (also referred to as “Willy- Willy”) - approx. 9 per year
East coast of Africa
Mainly from December to April
CYCLONES:
Indian Ocean
Occur occasionally (approx.12 times per year) March – December, mainly April – May and October – November.
TYPHOON:
Northern Hemisphere (Western Pacific) and South Chinese Sea. (Japan, Korea, Chinese Coastline, Taiwan)
Area with highest frequency of TRS (20 times per year)
Mainly from June to November"
The most frequent wind direction in a valley near the ground caused by thermal effects is..,"[{'id': 1, 'answer': 'down the valley during daylight hours.'}, {'id': 2, 'answer': 'up the valley during daylight hours.'}, {'id': 3, 'answer': 'up the valley at night.'}, {'id': 4, 'answer': 'down the valley during daylight as much as at night.'}]",up the valley during daylight hours.,"Refer to figure.
An Anabatic wind
is a local air current that
blows up a hill or mountain slope during the day
.
The Sun heats such slope and the air in contact with the ground will be heated by conduction and will rise up the hill. Free cold air will replace the lifted air and so a light wind will blow up the hillside.
An anabatic wind is a light wind of around 5 kt.
A katabatic wind
is caused by a ﬂow of cold air
down a hill or mountain side at night,
when the highlands radiate heat and are cooled.
The air in contact with the higher-level ground is also cooled, and it becomes denser than the air at the same elevation but away from the slope; it, therefore, begins to flow downhill.
The katabatic eﬀect is most marked if the mountain side is snow covered, if the sky is clear to assist radiation and if the PG is slack.
Speeds average 10 kt and the ﬂow of cold air into the valley helps frost
and fog
to form.","<div class=""mt10 fl wd100""> <div class=""fl tc mr20"" id=""annexContainer28957""> <a href=""/ImageViewer/index?image=A6D60A3F-DF8C-4BF2-8D02-BB744E0D98FF&size=2"" target=""_blank""> <img style=""border: solid thin rgb(219 219 219 / 32%); width: 163px !important; height: 136px !important; "" src=""/getimage/A6D60A3F-DF8C-4BF2-8D02-BB744E0D98FF"" alt=""thumb_217_504601.PNG"" /> </a> </div></div>",72873,".
An Anabatic wind
is a local air current that
blows up a hill or mountain slope during the day
.
The Sun heats such slope and the air in contact with the ground will be heated by conduction and will rise up the hill. Free cold air will replace the lifted air and so a light wind will blow up the hillside.
An anabatic wind is a light wind of around 5 kt.
A katabatic wind
is caused by a ﬂow of cold air
down a hill or mountain side at night,
when the highlands radiate heat and are cooled.
The air in contact with the higher-level ground is also cooled, and it becomes denser than the air at the same elevation but away from the slope; it, therefore, begins to flow downhill.
The katabatic eﬀect is most marked if the mountain side is snow covered, if the sky is clear to assist radiation and if the PG is slack.
Speeds average 10 kt and the ﬂow of cold air into the valley helps frost
and fog
to form."
The 0° isotherm is forecast to be at FL50. At what FL would you expect a temperature of -6°C?,"[{'id': 1, 'answer': 'FL110'}, {'id': 2, 'answer': 'FL100'}, {'id': 3, 'answer': 'FL20'}, {'id': 4, 'answer': 'FL80'}]",FL80,"In the standard troposphere air temperature on average decreases with height at an overall positive lapse rate of about 2ºC/1000 ft, until the tropopause, the boundary between the troposphere and stratosphere, is reached.
If the temperature at FL50 is 0ºC, and, as discussed above, in the troposphere temperature decreases at a rate of around 2ºC/1000 ft with increasing altitude, we know that -6ºC will be 3 000 ft higher than FL50 =>
-6ºC at FL80",,73081,"In the standard troposphere air temperature on average decreases with height at an overall positive lapse rate of about 2ºC/1000 ft, until the tropopause, the boundary between the troposphere and stratosphere, is reached.
If the temperature at FL50 is 0ºC, and, as discussed above, in the troposphere temperature decreases at a rate of around 2ºC/1000 ft with increasing altitude, we know that -6ºC will be 3 000 ft higher than FL50 =>
-6ºC at FL80"
You are operating an aircraft into North Africa in July and must cross the ITCZ. What is the main turbulence hazard associated with the ITCZ?,"[{'id': 1, 'answer': 'Moderate or severe turbulence in cumulonimbus and cumulus clouds.'}, {'id': 2, 'answer': 'Severe clear air turbulence at medium altitude near cumulus clouds.'}, {'id': 3, 'answer': 'Moderate or severe clear air turbulence close to the tropopause.'}, {'id': 4, 'answer': 'Moderate turbulence above the cumulus clouds.'}]",Moderate or severe turbulence in cumulonimbus and cumulus clouds.,"Refer to figure.
The Intertropical Convergence Zone (ITCZ) is known for its active convective weather, which can lead to
moderate to severe turbulence
, especially in
cumulonimbus and cumulus clouds
.
Further information:
The
Intertropical Convergence Zone (ITCZ
) is the broad zone of separation between the air masses either side of the heat equator. Here, the prevailing trade winds of the northern hemisphere blow to the southwest and collide with the southern hemisphere’s driving northeast trade winds.
ITCZ appears as a band of clouds (
extensive Cu, Cb and thunderstorms
). Due to the intense solar heating near the equator, the warm, moist air is forced up into the atmosphere. As the air rises, it cools, causing persistent bands of showers and storms around the Earth’s midsection.","<div class=""mt10 fl wd100""> <div class=""fl tc mr20"" id=""annexContainer57129""> <a href=""/ImageViewer/index?image=2e90ddbe-71fa-4902-bb4a-a0ceaad8e6bc&size=2"" target=""_blank""> <img style=""border: solid thin rgb(219 219 219 / 32%); width: 163px !important; height: 136px !important; "" src=""/getimage/2e90ddbe-71fa-4902-bb4a-a0ceaad8e6bc"" alt=""thumb_202309260803_050-131.jpg"" /> </a> </div></div>",100666,".
The Intertropical Convergence Zone (ITCZ) is known for its active convective weather, which can lead to
moderate to severe turbulence
, especially in
cumulonimbus and cumulus clouds
.
Further information:
The
Intertropical Convergence Zone (ITCZ
) is the broad zone of separation between the air masses either side of the heat equator. Here, the prevailing trade winds of the northern hemisphere blow to the southwest and collide with the southern hemisphere’s driving northeast trade winds.
ITCZ appears as a band of clouds (
extensive Cu, Cb and thunderstorms
). Due to the intense solar heating near the equator, the warm, moist air is forced up into the atmosphere. As the air rises, it cools, causing persistent bands of showers and storms around the Earth’s midsection."
"Under anticyclone conditions in the northern hemisphere, with curved isobars the speed of the gradient wind is:","[{'id': 1, 'answer': 'greater than the geostrophic wind.'}, {'id': 2, 'answer': 'proportional only to the Coriolis force.'}, {'id': 3, 'answer': 'less than the geostrophic wind.'}, {'id': 4, 'answer': 'the same as the thermal component.'}]",greater than the geostrophic wind.,"Refer to figure.
GEOSTROPHIC WIND vs GRADIENT WIND
The
Geostrophic wind
blows parallel to straight isobars and is said to have only 2 forces. These 2 forces, Pressure Gradient Force PGF and Coriolis Force CF, must be working opposite from each other and in balance.
The
Gradient wind
occurs when isobars are curved. There is a force that comes into play which makes the wind follow a curved path parallel to isobars. It is, therefore, a combination of 3 forces:
PGF
CF
Centrifugal Force (acts perpendicular to the direction of rotation and away from centre of rotation)
GRADIENT WIND IN A LOW
The Centrifugal force opposes the PGF => Reducing the wind speed.
Therefore, for the same isobar spacing, gradient wind speed in a LOW is less than the equivalent geostrophic wind.
PGF = CF + Centrifugal Force
GRADIENT WIND IN A HIGH
The Centrifugal Force acts in the same direction as the PGF => Increasing wind speed.
Therefore, for the same isobar spacing, gradient wind speed in a HIGH is greater than the equivalent geostrophic wind.
CF = PGF + Centrifugal Force
HENCE, the relationship being:
VST <  VHigh and VST > VLow.
Note that we are comparing the gradient wind in a LOW/HIGH to the equivalent Geostrophic wind and not the gradient wind around a HIGH to the gradient wind around a LOW.","<div class=""mt10 fl wd100""> <div class=""fl tc mr20"" id=""annexContainer29198""> <a href=""/ImageViewer/index?image=73DE8BB7-E9C2-4A3C-8051-7FB029050A4A&size=2"" target=""_blank""> <img style=""border: solid thin rgb(219 219 219 / 32%); width: 163px !important; height: 136px !important; "" src=""/getimage/73DE8BB7-E9C2-4A3C-8051-7FB029050A4A"" alt=""thumb_811_502127.PNG"" /> </a> </div><div class=""fl tc mr20"" id=""annexContainer31895""> <a href=""/ImageViewer/index?image=4B9FC078-999D-464F-9781-FC2F4CDFFFCA&size=2"" target=""_blank""> <img style=""border: solid thin rgb(219 219 219 / 32%); width: 163px !important; height: 136px !important; "" src=""/getimage/4B9FC078-999D-464F-9781-FC2F4CDFFFCA"" alt=""thumb_593_502127.png"" /> </a> </div></div>",73139,".
GEOSTROPHIC WIND vs GRADIENT WIND
The
Geostrophic wind
blows parallel to straight isobars and is said to have only 2 forces. These 2 forces, Pressure Gradient Force PGF and Coriolis Force CF, must be working opposite from each other and in balance.
The
Gradient wind
occurs when isobars are curved. There is a force that comes into play which makes the wind follow a curved path parallel to isobars. It is, therefore, a combination of 3 forces:
PGF
CF
Centrifugal Force (acts perpendicular to the direction of rotation and away from centre of rotation)
GRADIENT WIND IN A LOW
The Centrifugal force opposes the PGF => Reducing the wind speed.
Therefore, for the same isobar spacing, gradient wind speed in a LOW is less than the equivalent geostrophic wind.
PGF = CF + Centrifugal Force
GRADIENT WIND IN A HIGH
The Centrifugal Force acts in the same direction as the PGF => Increasing wind speed.
Therefore, for the same isobar spacing, gradient wind speed in a HIGH is greater than the equivalent geostrophic wind.
CF = PGF + Centrifugal Force
HENCE, the relationship being:
VST <  VHigh and VST > VLow.
Note that we are comparing the gradient wind in a LOW/HIGH to the equivalent Geostrophic wind and not the gradient wind around a HIGH to the gradient wind around a LOW."
The absence of regular convection in the stratosphere due to warmer layers higher up and cooler ones lower down makes this part of the Earth`s atmosphere..,"[{'id': 1, 'answer': 'free of clouds.'}, {'id': 2, 'answer': 'susceptible to rapid pressure changes.'}, {'id': 3, 'answer': 'dynamically unstable.'}, {'id': 4, 'answer': 'generally turbulence-free.'}]",generally turbulence-free.,"Refer to figure.
Troposphere = The lowest layer of our atmosphere. It stars at ground level and extends upward to about 10 km (this altitude differs) above sea level.
Nearly all the weather occurs in this layer mainly because 99% of the water vapor is found here.
With increasing altitude, the pressure normally drops and the temperature decreases.
Stratosphere
=
The layer above the troposphere is the stratosphere
, it extends from the troposphere (which is 11 km at mid latitudes) to about 50km above the ground.
With increasing altitude, the temperature rises, because of this the air here is very stable and there is almost no turbulence.
This is the reason commercial passenger jets fly in the lower stratosphere.
The lower boundary of the stratosphere is called the
tropopause;
the upper boundary is called the stratopause.
The
ozone layer
or ozone shield is a region of earths stratosphere that absorbs most of the sun’s ultraviolet radiation.
It contains high concentration of ozone (O3) in relation to other parts of the atmosphere.
T
he ozone layer is mainly found in the lower portion of the stratosphere
, from approximately 15 to 35 kilometres (9.3 to 21.7 mi) above Earth, although its thickness varies seasonally and geographically.
In case of this specific question:
Because ozone absorbs the suns radiation, the temperature here increases with increasing altitude as compared to the troposphere.
Cold air is more dense than warm air.
If a layer of cool air lies beneath a layer of warmer air, then those layers are statically stable
,
and there is little or no vertical motion, because the heavier layer is already at the bottom.
Stability of the atmosphere can also be defined using the relationship of ELR (Environmental Lapse Rate), DALR (Dry Adiabatic Lapse Rate) and SALR (Saturated Adiabatic Lapse Rate):
Absolute stability
: The ELR is less than the SALR, the air is said to be absolutely stable, since the air, whether saturated or unsaturated, will always be cooler than the surrounding air and will not go up.ELR is less than SALR => ELR is less than 1.8°C per 1 000 ft (0.6°C per 100 m). Relationship is: ELR < SALR < DALR.
Absolute instability
: The air, whether saturated or unsaturated, will always have a higher temperature than its surroundings.ELR is greater than DALR => ELR is greater than 3°C per 1 000 ft (1°C per 100 m). Relationship is: SALR < DALR < ELR.
Conditional instability
: ELR is between 1.8°C and 3°C per 1 000 ft. Relationship is: SALR < ELR < DALR.
ELR is less than SALR in case of the stratosphere (ELR is a positive number, because temperature increases with altitude).
This layer is considered
turbulence free
because the warm air over the cold air mass acts like a cap,
preventing vertical mixing
and thus leads to a stable atmosphere.","<div class=""mt10 fl wd100""> <div class=""fl tc mr20"" id=""annexContainer28521""> <a href=""/ImageViewer/index?image=CD717036-48AA-470B-9DE2-510D8FF9A21E&size=2"" target=""_blank""> <img style=""border: solid thin rgb(219 219 219 / 32%); width: 163px !important; height: 136px !important; "" src=""/getimage/CD717036-48AA-470B-9DE2-510D8FF9A21E"" alt=""thumb_934_506984.jpg"" /> </a> </div></div>",73079,".
Troposphere = The lowest layer of our atmosphere. It stars at ground level and extends upward to about 10 km (this altitude differs) above sea level.
Nearly all the weather occurs in this layer mainly because 99% of the water vapor is found here.
With increasing altitude, the pressure normally drops and the temperature decreases.
Stratosphere
=
The layer above the troposphere is the stratosphere
, it extends from the troposphere (which is 11 km at mid latitudes) to about 50km above the ground.
With increasing altitude, the temperature rises, because of this the air here is very stable and there is almost no turbulence.
This is the reason commercial passenger jets fly in the lower stratosphere.
The lower boundary of the stratosphere is called the
tropopause;
the upper boundary is called the stratopause.
The
ozone layer
or ozone shield is a region of earths stratosphere that absorbs most of the sun’s ultraviolet radiation.
It contains high concentration of ozone (O3) in relation to other parts of the atmosphere.
T
he ozone layer is mainly found in the lower portion of the stratosphere
, from approximately 15 to 35 kilometres (9.3 to 21.7 mi) above Earth, although its thickness varies seasonally and geographically.
In case of this specific question:
Because ozone absorbs the suns radiation, the temperature here increases with increasing altitude as compared to the troposphere.
Cold air is more dense than warm air.
If a layer of cool air lies beneath a layer of warmer air, then those layers are statically stable
,
and there is little or no vertical motion, because the heavier layer is already at the bottom.
Stability of the atmosphere can also be defined using the relationship of ELR (Environmental Lapse Rate), DALR (Dry Adiabatic Lapse Rate) and SALR (Saturated Adiabatic Lapse Rate):
Absolute stability
: The ELR is less than the SALR, the air is said to be absolutely stable, since the air, whether saturated or unsaturated, will always be cooler than the surrounding air and will not go up.ELR is less than SALR => ELR is less than 1.8°C per 1 000 ft (0.6°C per 100 m). Relationship is: ELR < SALR < DALR.
Absolute instability
: The air, whether saturated or unsaturated, will always have a higher temperature than its surroundings.ELR is greater than DALR => ELR is greater than 3°C per 1 000 ft (1°C per 100 m). Relationship is: SALR < DALR < ELR.
Conditional instability
: ELR is between 1.8°C and 3°C per 1 000 ft. Relationship is: SALR < ELR < DALR.
ELR is less than SALR in case of the stratosphere (ELR is a positive number, because temperature increases with altitude).
This layer is considered
turbulence free
because the warm air over the cold air mass acts like a cap,
preventing vertical mixing
and thus leads to a stable atmosphere."
Which of the following statements is true regarding moderate to severe airframe icing?,"[{'id': 1, 'answer': 'It is likely to occur in nimbostratus cloud'}, {'id': 2, 'answer': 'It always occurs in altostratus cloud'}, {'id': 3, 'answer': 'It may occur in the uppermost levels of a cumulonimbus capillatus formation'}, {'id': 4, 'answer': 'It will occur in clear-sky conditions'}]",It is likely to occur in nimbostratus cloud,"Refer to figure.
MODERATE TO SEVERE ICING
Some of the factors affecting the severity and the type of icing that occurs:
Size of supercooled water droplets
. The larger the supercooled water droplets, the greater the intensity of icing. Large supercooled water droplets can be found:
Freezing Rain FZRA
CU and
NS
Concentration of water droplets.
The higher the concentration, the greater the intensity of icing. Concentration is highest in convective clouds – CU and CB - and NS. Bases of the clouds typically have greater concentrations than tops of the clouds.
Moderate to severe icing is most frequently formed in CU, CB and NS clouds.
NOTE:
“in altostratus clouds”
INCORRECT
.
Icing
is usually less severe in layer clouds than in cumulus type clouds. Usually only light icing may be formed.
“It will occur in clear-sky conditions”
INCORRECT
. Flight through these conditions should not result in several/moderate structural icing.
“It may occur in the uppermost levels of a cumulonimbus capillatus formation”
INCORRECT
. In the upper levels of CBs - small supercooled water droplets are present.","<div class=""mt10 fl wd100""> <div class=""fl tc mr20"" id=""annexContainer29672""> <a href=""/ImageViewer/index?image=A695355F-82B4-4AD7-984D-69C98BF7FAF5&size=2"" target=""_blank""> <img style=""border: solid thin rgb(219 219 219 / 32%); width: 163px !important; height: 136px !important; "" src=""/getimage/A695355F-82B4-4AD7-984D-69C98BF7FAF5"" alt=""thumb_600_ESTA.png"" /> </a> </div></div>",72487,".
MODERATE TO SEVERE ICING
Some of the factors affecting the severity and the type of icing that occurs:
Size of supercooled water droplets
. The larger the supercooled water droplets, the greater the intensity of icing. Large supercooled water droplets can be found:
Freezing Rain FZRA
CU and
NS
Concentration of water droplets.
The higher the concentration, the greater the intensity of icing. Concentration is highest in convective clouds – CU and CB - and NS. Bases of the clouds typically have greater concentrations than tops of the clouds.
Moderate to severe icing is most frequently formed in CU, CB and NS clouds.
NOTE:
“in altostratus clouds”
INCORRECT
.
Icing
is usually less severe in layer clouds than in cumulus type clouds. Usually only light icing may be formed.
“It will occur in clear-sky conditions”
INCORRECT
. Flight through these conditions should not result in several/moderate structural icing.
“It may occur in the uppermost levels of a cumulonimbus capillatus formation”
INCORRECT
. In the upper levels of CBs - small supercooled water droplets are present."
The wind indicator for a weather observation receives the measured value from an anemometer. Where is this instrument placed?,"[{'id': 1, 'answer': 'On the roof of the weather station.'}, {'id': 2, 'answer': 'On a mast 10 m above the runway.'}, {'id': 3, 'answer': 'Close to the station about 2 m above the ground.'}, {'id': 4, 'answer': '1 m above the runway.'}]",On a mast 10 m above the runway.,"Measurement of winds
An anemometer is commonly used to measure wind speed. It is a set of 3 hemispherical cups which rotate on a shaft with the effect of the wind. The speed of rotation of the shaft is directly proportional to the wind speed.
According to ICAO,
the anemometer should be positioned 10 m (33 ft) above aerodrome level
and located clear of buildings and obstructions which could affect the airflow and hence accuracy.",,72605,"Measurement of winds
An anemometer is commonly used to measure wind speed. It is a set of 3 hemispherical cups which rotate on a shaft with the effect of the wind. The speed of rotation of the shaft is directly proportional to the wind speed.
According to ICAO,
the anemometer should be positioned 10 m (33 ft) above aerodrome level
and located clear of buildings and obstructions which could affect the airflow and hence accuracy."
"What is the approximate yearly frequency of tropical revolving storms in the South-west Pacific, east of Australia?","[{'id': 1, 'answer': '25'}, {'id': 2, 'answer': '7'}, {'id': 3, 'answer': '15'}, {'id': 4, 'answer': '3'}]",7,"Refer to figure.
IMPORTANT NOTE
: This question is poorly formulated, as there is frequent confusion between the definitions of tropical revolving storms, hurricanes, typhoons, and cyclones. Furthermore, there are two nearly identical questions in the exam, each with slightly varying answers. Question 509867 presents an alternate set of answers: 5, 9, 15, and 23. The accurate response to this question is either ""7"" or ""9,"" contingent upon the provided options.
TROPICAL REVOLVING STORMS (TRS). Are thermal depressions that develop over warm tropical oceans (wind speeds in excess of 33 kts). When they sustain wind speeds greater than 63 kt, they are designated tropical cyclones.
TRS are given di
ﬀ
erent names in di
ﬀ
erent parts of the world:
HURRICANES:
Northern Hemisphere – Atlantic and Eastern Pacific
Occur approximately 17/18 times per year
Mainly from July to November (Summer and Autumn)
CYCLONES:
Southern Hemisphere –
Western Pacific, including Australia (also referred to as “Willy- Willy”) – approx. 9 per year
(closest correct answer: 7)
.
East coast of Africa
Mainly from December to April
CYCLONES:
Indian Ocean
Occur occasionally (approx.12 times per year) March – December, mainly April – May and October – November.
TYPHOON:
Northern Hemisphere (Western Pacific) and South Chinese Sea. (Japan, Korea, Chinese Coastline, Taiwan, Philippines area)
Area with highest frequency of TRS (20 times per year)
Mainly from June to November","<div class=""mt10 fl wd100""> <div class=""fl tc mr20"" id=""annexContainer56476""> <a href=""/ImageViewer/index?image=448cb610-44eb-4980-b6d3-dfbddf37cd52&size=2"" target=""_blank""> <img style=""border: solid thin rgb(219 219 219 / 32%); width: 163px !important; height: 136px !important; "" src=""/getimage/448cb610-44eb-4980-b6d3-dfbddf37cd52"" alt=""thumb_202308121108_701_509867.png"" /> </a> </div></div>",100192,".
IMPORTANT NOTE
: This question is poorly formulated, as there is frequent confusion between the definitions of tropical revolving storms, hurricanes, typhoons, and cyclones. Furthermore, there are two nearly identical questions in the exam, each with slightly varying answers. Question 509867 presents an alternate set of answers: 5, 9, 15, and 23. The accurate response to this question is either ""7"" or ""9,"" contingent upon the provided options.
TROPICAL REVOLVING STORMS (TRS). Are thermal depressions that develop over warm tropical oceans (wind speeds in excess of 33 kts). When they sustain wind speeds greater than 63 kt, they are designated tropical cyclones.
TRS are given di
ﬀ
erent names in di
ﬀ
erent parts of the world:
HURRICANES:
Northern Hemisphere – Atlantic and Eastern Pacific
Occur approximately 17/18 times per year
Mainly from July to November (Summer and Autumn)
CYCLONES:
Southern Hemisphere –
Western Pacific, including Australia (also referred to as “Willy- Willy”) – approx. 9 per year
(closest correct answer: 7)
.
East coast of Africa
Mainly from December to April
CYCLONES:
Indian Ocean
Occur occasionally (approx.12 times per year) March – December, mainly April – May and October – November.
TYPHOON:
Northern Hemisphere (Western Pacific) and South Chinese Sea. (Japan, Korea, Chinese Coastline, Taiwan, Philippines area)
Area with highest frequency of TRS (20 times per year)
Mainly from June to November"
"Over an aerodrome, there is frontal fog. What condition is likely to dissipate the fog?","[{'id': 1, 'answer': 'After the front has passed there is no more cold air to cool the humid air close to the surface, the visibility should improve.'}, {'id': 2, 'answer': 'The descending air in the warm sector causes fog droplets to fall on the surface as dew, the visibility should improve.'}, {'id': 3, 'answer': 'The wind backs as the front passes, the air becomes drier and fog particles re-absorb into water vapour.'}, {'id': 4, 'answer': 'When the surface is heated in the cloudless sky immediately after the warm front has passed.'}]","After the front has passed there is no more cold air to cool the humid air close to the surface, the visibility should improve.","Refer to figure.
FRONTAL FOG
. Occurs at a warm front or occlusion. The main cause – precipitation lowering the cloud base to the ground. Formed due to evaporation and following condensation of warm falling precipitation down in a cold moist layer ahead of a warm front. It is formed by day and night.
The fog can form along a belt up to 200 NM wide which then travels with the front. - unless the front is a very slow moving one, the fog is typically present for only about 2 to 3 hours.
Orographic lifting => increases the fog intensity
Dissipation of frontal fog
: frontal fog moves with the weather front, so it dissipates at a given location if the front passes by.","<div class=""mt10 fl wd100""> <div class=""fl tc mr20"" id=""annexContainer41990""> <a href=""/ImageViewer/index?image=07270739-666B-4900-9D6F-1C17BF1ECA2E&size=2"" target=""_blank""> <img style=""border: solid thin rgb(219 219 219 / 32%); width: 163px !important; height: 136px !important; "" src=""/getimage/07270739-666B-4900-9D6F-1C17BF1ECA2E"" alt=""thumb_154_489_503213.png"" /> </a> </div></div>",80587,".
FRONTAL FOG
. Occurs at a warm front or occlusion. The main cause – precipitation lowering the cloud base to the ground. Formed due to evaporation and following condensation of warm falling precipitation down in a cold moist layer ahead of a warm front. It is formed by day and night.
The fog can form along a belt up to 200 NM wide which then travels with the front. - unless the front is a very slow moving one, the fog is typically present for only about 2 to 3 hours.
Orographic lifting => increases the fog intensity
Dissipation of frontal fog
: frontal fog moves with the weather front, so it dissipates at a given location if the front passes by."
